Notification Name,Type,Group,Priority,Trigger,Workflow
Tax preparation appointment,Email,Tax Services,High,,
Document submission,Email,Tax Services,Medium,,
Tax return status,Email,Tax Services,Medium,,
Tax payment deadline,Email,Tax Services,High,,
Missing document,Email,Tax Services,High,,
Monthly statement,Email,Accounting,Medium,,
Invoice due,Email,Accounting,High,,
Document review,Email,Legal,Medium,,
Document signing,Email,Legal,High,,
Welcome email,Email,Client Relations,Medium,,
Appointment confirmation,SMS,Urgent,High,,
System outage,SMS,Urgent,Critical,,
New feature announcement,In-App,System,Low,,
Document upload,In-App,System,Medium,,
Important document arrival,Push,Mobile,High,,
Meeting start,Push,Mobile,Medium,,