Card,Card Name,Card Type,Image,Latest Appearance,Main Keywords,Major or Minor,One Liner,Reading Journal,Times Appeared,id,_source_file
Three of Swords,Three of Swords (Three%20of%20Swords%2013ef84a0440281b8ae44dc2b13fd16f2.md),Swords,66_Three_of_Swords.jpg,,"Emotional Pain, Heartbreak, Sorrow",Minor,"The Three of Swords represents heartbreak, emotional pain, and the experience of loss.",,0,66.0,card_list__all
Five of Cups,Five of Cups (Five%20of%20Cups%2013ef84a044028114aae1ebf41d8a0e5e.md),Cups,40_Five_of_Cups.jpg,,"Disappointment, Emotional Setbacks, Loss",Minor,"The Five of Cups signifies loss, regret, and the need to focus on what remains rather than what has been lost.",,0,40.0,card_list__all
Five of Wands,Five of Wands (Five%20of%20Wands%2013ef84a04402814288fefc6ccb1e4fec.md),Wands,26_Five_of_Wands.jpg,,"Challenges, Competition, Conflict",Minor,Conflict and competition; a struggle for power.,,0,26.0,card_list__all
Nine of Wands,Nine of Wands (Nine%20of%20Wands%2013ef84a0440281dcbc40cb3f51e84e2c.md),Wands,30_Nine_of_Wands.jpg,,"Facing Challenges, Perseverance, Resilience",Minor,The Nine of Wands represents resilience and perseverance in the face of challenges.,,0,30.0,card_list__all
Ten of Pentacles,Ten of Pentacles (Ten%20of%20Pentacles%2013ef84a0440281ef89f6d760895f9f31.md),Pentacles,59_Ten_of_Pentacles.jpg,"Nov 18, 2024","Family Legacy, Generational Wealth, Tradition",Minor,"Wealth, legacy, and family stability.",Cody three card spread (Cody%20three%20card%20spread%20142f84a0440280918672c7ec9bb8d7b5.md),1,59.0,card_list__all
Queen of Cups,Queen of Cups (Queen%20of%20Cups%2013ef84a04402815090d1ebf089a11ae4.md),Cups,48_Queen_of_Cups.jpg,"Feb 19, 2025","Compassion, Emotional Wisdom, Empathy",Minor,"The Queen of Cups represents emotional intelligence, compassion, and nurturing energy.","Reading @February 19, 2025  (Reading%20@February%2019,%202025%2019ff84a0440280798884c15279654b89.md)",1,48.0,card_list__all
Five of Pentacles,Five of Pentacles (Five%20of%20Pentacles%2013ef84a0440281c6af99f701b8c76429.md),Pentacles,54_Five_of_Pentacles.jpg,,"Financial Struggle, Hardship, Isolation",Minor,"The Five of Pentacles signifies hardship, struggle, and a sense of loss, often highlighting the need for support and community during difficult times.",,0,54.0,card_list__all
Seven of Wands,Seven of Wands (Seven%20of%20Wands%2013ef84a04402813b9469e9e41099b07a.md),Wands,28_Seven_of_Wands.jpg,,"Courage, Defending, Determination",Minor,Defend your position and stand your ground against adversity.,,0,28.0,card_list__all
IX The Hermit,IX The Hermit (IX%20The%20Hermit%2013ef84a0440281fc8aa5e8d5970cfcc0.md),Major Card,9_The_Hermit.jpg,,"Inner Guidance, Introspection, Solitude",Major,The Hermit: A journey inward for self-discovery and reflection.,,0,9.0,card_list__all
VI The Lovers,VI The Lovers (VI%20The%20Lovers%2013ef84a04402819abca5ce7cca2adacc.md),Major Card,6_The_Lovers.jpg,,"Choices, Love, Partnerships",Major,"Tarot Card One-Liner: A union of love and harmony, representing deep connections and choices in relationships.",,0,6.0,card_list__all
Page of Pentacles,Page of Pentacles (Page%20of%20Pentacles%2013ef84a044028153983aeeb5acaf78e9.md),Pentacles,60_Page_of_Pentacles.jpg,,"Curiosity, Knowledge, Practical Beginnings",Minor,"The Page of Pentacles represents a thirst for knowledge and a desire to learn new skills, particularly in the material or practical realm.",,0,60.0,card_list__all
VIII Strength,VIII Strength (VIII%20Strength%2013ef84a044028130bdb0cdfc76fdf34a.md),Major Card,8_Strength.jpg,,"Compassion, Inner Courage, Patience",Major,Strength: The courage to face challenges with confidence and compassion.,,0,8.0,card_list__all
Knight of Cups,Knight of Cups (Knight%20of%20Cups%2013ef84a0440281b7bbf2ec1529d7a57d.md),Cups,47_Knight_of_Cups.jpg,,"Charm, Pursuit of Desires, Romance",Minor,"The Knight of Cups represents a romantic and idealistic approach to life, embodying creativity and emotional depth.",,0,47.0,card_list__all
XXI The World,XXI The World (XXI%20The%20World%2013ef84a0440281eeb5fbeaaa51793a16.md),Major Card,21_The_World.jpg,,"Accomplishment, Completion, Fulfillment",Major,"The World: Completion and fulfillment, bringing together the lessons learned on your journey.",,0,21.0,card_list__all
King of Wands,King of Wands (King%20of%20Wands%2013ef84a04402811f8a56fdc165597b30.md),Wands,35_King_of_Wands.jpg,,"Leadership, Taking Charge, Vision",Minor,"The King of Wands represents leadership, vision, and the ability to inspire others.",,0,35.0,card_list__all
Ten of Swords,Ten of Swords (Ten%20of%20Swords%2013ef84a0440281c892b8e9ccbc704705.md),Swords,73_Ten_of_Swords.jpg,,"Betrayal, Rock Bottom, Transformation",Minor,"The Ten of Swords signifies betrayal, loss, and the end of a difficult situation, often indicating that while the worst may have happened, it also opens the door to new beginnings.",,0,73.0,card_list__all
Queen of Wands,Queen of Wands (Queen%20of%20Wands%2013ef84a0440281aaace0f0b8d08b72ed.md),Wands,34_Queen_of_Wands.jpg,,"Charisma, Confidence, Independence",Minor,"The Queen of Wands embodies confidence, creativity, and a bold spirit, inspiring those around her with her warmth and determination.",,0,34.0,card_list__all
Page of Cups,Page of Cups (Page%20of%20Cups%2013ef84a0440281aebb13e7275de7cdf4.md),Cups,46_Page_of_Cups.jpg,,"Creativity, Intuition, New Emotions",Minor,"The Page of Cups represents intuition, creativity, and emotional exploration.",,0,46.0,card_list__all
Two of Pentacles,Two of Pentacles (Two%20of%20Pentacles%2013ef84a0440281039e91eb932d1b18ba.md),Pentacles,51_Two_of_Pentacles.jpg,,"Adaptability, Balance, Juggling",Minor,"The Two of Pentacles signifies balance, adaptability, and the juggling of multiple responsibilities.",,0,51.0,card_list__all
Ace of Wands,Ace of Wands (Ace%20of%20Wands%2013ef84a0440281ceaa62c54d7780b1ef.md),Wands,22_Ace_of_Wands.jpg,,"Inspiration, New Opportunities, Potential",Minor,A spark of inspiration and creative energy awaits you.,,0,22.0,card_list__all
Ten of Wands,Ten of Wands (Ten%20of%20Wands%2013ef84a04402812b8c33c0c160a3c789.md),Wands,31_Ten_of_Wands.jpg,,"Burdens, Overwhelmed, Responsibilities",Minor,The Ten of Wands represents the burden of responsibility and the weight of commitments.,,0,31.0,card_list__all
Ace of Swords,Ace of Swords (Ace%20of%20Swords%2013ef84a0440281a4a4b6dd66b1e38e58.md),Swords,64_Ace_of_Swords.jpg,"Mar 17, 2024","Breakthroughs, New Clarity, Truth and Justice",Minor,"The Ace of Swords represents clarity, new ideas, and the power of the mind.","Untitled (https://www.notion.so/12308dd0598146e284c759411d670916?pvs=21), Sample Journal Entry: How can I best showcase the new template? (Sample%20Journal%20Entry%20How%20can%20I%20best%20showcase%20the%20n%2013ef84a044028110badfdc421fc7cdff.md)",1,64.0,card_list__all
King of Swords,King of Swords (King%20of%20Swords%2013ef84a044028196bcaee60815612d93.md),Swords,77_King_of_Swords.jpg,,"Authority, Intellectual Power, Sharp Judgment",Minor,"The King of Swords embodies intellect, authority, and clear communication, wielding power with fairness and wisdom.",,0,77.0,card_list__all
XX Judgement,XX Judgement (XX%20Judgement%2013ef84a044028175946ae1e4a1545d9f.md),Major Card,20_Judgement.jpg,,"Accountability, Self-Reflection, Transformation",Major,Tarot Card One-Liner: A moment of decisive clarity leading to a significant realization.,,0,20.0,card_list__all
Two of Wands,Two of Wands (Two%20of%20Wands%2013ef84a04402811d9730ceace1e42cee.md),Wands,23_Two_of_Wands.jpg,"Nov 18, 2024","Choices, New Direction, Planning",Minor,"The Two of Wands signifies planning, progress, and the exploration of new possibilities.",Cody three card spread (Cody%20three%20card%20spread%20142f84a0440280918672c7ec9bb8d7b5.md),1,23.0,card_list__all
XVII The Stars,XVII The Stars (XVII%20The%20Stars%2013ef84a044028110b968c96ea1c73e97.md),Major Card,17_The_Stars.jpg,,"Hope, Inspiration, Spiritual Guidance",Major,"Tarot Card One-Liner: The Stars signify hope, inspiration, and a sense of purpose.",,0,17.0,card_list__all
Four of Wands,Four of Wands (Four%20of%20Wands%2013ef84a044028177b3f0d5dc31a223f9.md),Wands,25_Four_of_Wands.jpg,,"Celebration, Harmony, Stability",Minor,"The Four of Wands signifies celebration, harmony, and a sense of community.",,0,25.0,card_list__all
Nine of Cups,Nine of Cups (Nine%20of%20Cups%2013ef84a04402815d9acce3771bfc5143.md),Cups,44_Nine_of_Cups.jpg,,"Contentment, Fulfillment, Wishes",Minor,"The Nine of Cups signifies emotional fulfillment, contentment, and the realization of dreams.",,0,44.0,card_list__all
XV The Devil,XV The Devil (XV%20The%20Devil%2013ef84a04402816c89f1e971b4660143.md),Major Card,15_The_Devil.jpg,,"Bondage, Materialism, Temptation",Major,"The Devil represents temptation, materialism, and the struggle between freedom and control.",,0,15.0,card_list__all
Eight of Cups,Eight of Cups (Eight%20of%20Cups%2013ef84a0440281f48cabf7c7c68e708e.md),Cups,43_Eight_of_Cups.jpg,,"Departure, Higher Purpose, Moving On",Minor,"The Eight of Cups signifies a journey of introspection and the pursuit of deeper meaning, often involving leaving behind what no longer serves you.",,0,43.0,card_list__all
Three of Wands,Three of Wands (Three%20of%20Wands%2013ef84a0440281f892eaff4f74dd5416.md),Wands,24_Three_of_Wands.jpg,,"Expansion, Exploration, Foresight",Minor,"The Three of Wands signifies expansion, foresight, and the exploration of new opportunities.",,0,24.0,card_list__all
Knight of Wands,Knight of Wands (Knight%20of%20Wands%2013ef84a04402817fb00af7a8c3b22bb8.md),Wands,33_Knight_of_Wands.jpg,,"Adventure, Ambition, Determination",Minor,"The Knight of Wands represents action, adventure, and the pursuit of passions with enthusiasm and confidence.",,0,33.0,card_list__all
Queen of Swords,Queen of Swords (Queen%20of%20Swords%2013ef84a0440281ee9327ec3bdd14486e.md),Swords,76_Queen_of_Swords.jpg,,"Discernment, Independence, Intellect",Minor,"The Queen of Swords represents clarity, intellect, and independent thinking, often embodying a strong and assertive woman who values truth and fairness.",,0,76.0,card_list__all
Two of Swords,Two of Swords (Two%20of%20Swords%2013ef84a04402817d93d6db6e4ca3fdee.md),Swords,65_Two_of_Swords.jpg,,"Balance, Choices, Decisions",Minor,"Two of Swords: A card of difficult decisions and the need for balance, often representing inner conflict and the choice between two paths.",,0,65.0,card_list__all
Four of Pentacles,Four of Pentacles (Four%20of%20Pentacles%2013ef84a04402813e8f41e31656e42b4d.md),Pentacles,53_Four_of_Pentacles.jpg,,"Conservation, Possessions, Stability",Minor,"The Four of Pentacles symbolizes control, stability, and the need to hold on to resources.",,0,53.0,card_list__all
IV The Emperor,IV The Emperor (IV%20The%20Emperor%2013ef84a044028194a1ffc55c0cf700a2.md),Major Card,4_The_Emperor.jpg,,"Authority, Leadership, Structure",Major,"The Emperor: Authority, structure, and control in a chaotic world.",,0,4.0,card_list__all
Eight of Wands,Eight of Wands (Eight%20of%20Wands%2013ef84a04402817a9921c0c7a293be7f.md),Wands,29_Eight_of_Wands.jpg,"Feb 19, 2025","Communication, Momentum, Swift Progress",Minor,Swift movement and progress; things are happening quickly.,"Reading @February 19, 2025  (Reading%20@February%2019,%202025%2019ff84a0440280798884c15279654b89.md)",1,29.0,card_list__all
Nine of Swords,Nine of Swords (Nine%20of%20Swords%2013ef84a04402816590a7c6022b9f1578.md),Swords,72_Nine_of_Swords.jpg,,"Anxiety, Inner Turmoil, Worry",Minor,"The Nine of Swords represents anxiety, worry, and the burdens of the mind, often indicating sleepless nights and deep fears that may be unfounded.",,0,72.0,card_list__all
Ace of Cups,Ace of Cups (Ace%20of%20Cups%2013ef84a044028144945bf5c4aa2c45f1.md),Cups,36_Ace_of_Cups.jpg,,"Heartwarming, Love, New Emotions",Minor,"The Ace of Cups represents new emotional beginnings, creativity, and deep connections.",,0,36.0,card_list__all
Knight of Swords,Knight of Swords (Knight%20of%20Swords%2013ef84a0440281a79932f9f8ec6f89bf.md),Swords,75_Knight_of_Swords.jpg,,"Determination, Fearlessness, Swift Action",Minor,"The Knight of Swords represents swift action, decisive communication, and the pursuit of truth with courage.",,0,75.0,card_list__all
Ace of Pentacles,Ace of Pentacles (Ace%20of%20Pentacles%2013ef84a044028121b12cdfeabceb4dc2.md),Pentacles,50_Ace_of_Pentacles.jpg,,"Material Well-Being, New Opportunity, Prosperity",Minor,A new beginning and the potential for prosperity and success.,,0,50.0,card_list__all
Four of Swords,Four of Swords (Four%20of%20Swords%2013ef84a044028172bc0cc2bdfc1e4d1f.md),Swords,67_Four_of_Swords.jpg,,"Recuperation, Rest, Stress Relief",Minor,"The Four of Swords represents rest, contemplation, and recovery, urging a time for reflection and healing before moving forward.",,0,67.0,card_list__all
Page of Wands,Page of Wands (Page%20of%20Wands%2013ef84a0440281109795e88eef594dee.md),Wands,32_Page_of_Wands.jpg,,"Creative Inspiration, Enthusiasm, Exploration",Minor,"One-Liner: The Page of Wands embodies enthusiasm, exploration, and the spark of new ideas.",,0,32.0,card_list__all
Eight of Swords,Eight of Swords (Eight%20of%20Swords%2013ef84a04402817ca2b8ca765436f53c.md),Swords,71_Eight_of_Swords.jpg,,"Feeling Trapped, Liberation, Restriction",Minor,"The Eight of Swords represents feeling trapped or restricted, often due to self-imposed limitations.",,0,71.0,card_list__all
0 The Fool,0 The Fool (0%20The%20Fool%2013ef84a0440281959de7c97545ad86e3.md),Major Card,0_The_Fool.jpg,"Feb 19, 2025","New Beginnings, Spontaneity, Trust",Major,"The Fool represents new beginnings, spontaneity, and a leap of faith.","Reading @February 19, 2025  (Reading%20@February%2019,%202025%2019ff84a0440280798884c15279654b89.md)",1,0.0,card_list__all
Ten of Cups,Ten of Cups (Ten%20of%20Cups%2013ef84a04402811baf36f84d81e39d94.md),Cups,45_Ten_of_Cups.jpg,,"Domestic Bliss, Harmony, Love",Minor,"The Ten of Cups represents emotional fulfillment, harmony in relationships, and a sense of lasting happiness.",,0,45.0,card_list__all
Five of Swords,Five of Swords (Five%20of%20Swords%2013ef84a04402814382e4ca1ef03e3c27.md),Swords,68_Five_of_Swords.jpg,,"Caution, Conflict, Rivalry",Minor,"The Five of Swords represents conflict, tension, and the consequences of winning at all costs.",,0,68.0,card_list__all
Queen of Pentacles,Queen of Pentacles (Queen%20of%20Pentacles%2013ef84a04402810a88a7f6080c1648ab.md),Pentacles,62_Queen_of_Pentacles.jpg,,"Abundance, Connection to Nature, Nurturing",Minor,"The Queen of Pentacles symbolizes nurturing, practicality, and financial security.",,0,62.0,card_list__all
Knight of Pentacles,Knight of Pentacles (Knight%20of%20Pentacles%2013ef84a044028129ae84c079c99d4fd8.md),Pentacles,61_Knight_of_Pentacles.jpg,,"Diligence, Methodical Approach, Reliability",Minor,"The Knight of Pentacles represents responsibility, hard work, and dedication to achieving goals.",,0,61.0,card_list__all
Four of Cups,Four of Cups (Four%20of%20Cups%2013ef84a0440281938c3fd65cc0a40847.md),Cups,39_Four_of_Cups.jpg,,"Contemplation, Introspection, Self-Reflection",Minor,"The Four of Cups signifies contemplation, apathy, and reevaluation of emotional needs.",,0,39.0,card_list__all
King of Cups,King of Cups (King%20of%20Cups%2013ef84a0440281938f0aeff26e844982.md),Cups,49_King_of_Cups.jpg,,"Balance, Emotional Maturity, Leadership",Minor,"The King of Cups represents emotional maturity, compassion, and a balanced approach to relationships.",,0,49.0,card_list__all
III The Empress,III The Empress (III%20The%20Empress%2013ef84a0440281b092faff1974d00861.md),Major Card,3_The_Empress.jpg,,"Abundance, Fertility, Nurturing",Major,The Empress: Nurturing abundance and fertility; a symbol of creativity and growth.,,0,3.0,card_list__all
Three of Cups,Three of Cups (Three%20of%20Cups%2013ef84a044028142b778f1e2c00e46f3.md),Cups,38_Three_of_Cups.jpg,,"Celebration, Joy, Social Gatherings",Minor,"The Three of Cups symbolizes celebration, friendship, and community.",,0,38.0,card_list__all
Seven of Pentacles,Seven of Pentacles (Seven%20of%20Pentacles%2013ef84a0440281f88649fe5937aca06e.md),Pentacles,56_Seven_of_Pentacles.jpg,"Feb 19, 2025","Assessment, Patience, Reevaluation",Minor,"The Seven of Pentacles signifies patience, perseverance, and the rewards of hard work.","Reading @February 19, 2025  (Reading%20@February%2019,%202025%2019ff84a0440280798884c15279654b89.md)",1,56.0,card_list__all
Six of Cups,Six of Cups (Six%20of%20Cups%2013ef84a04402816ea142d68bad986213.md),Cups,41_Six_of_Cups.jpg,,"Childhood Memories, Innocence, Nostalgia",Minor,"The Six of Cups represents nostalgia, childhood memories, and the innocence of the past.",,0,41.0,card_list__all
V The Hierophant,V The Hierophant (V%20The%20Hierophant%2013ef84a0440281c08657fbfb64996eb1.md),Major Card,5_The_Hierophant.jpg,,"Guidance, Spirituality, Tradition",Major,"The Hierophant symbolizes spiritual wisdom, tradition, and the search for deeper meaning.",,0,5.0,card_list__all
I The Magician,I The Magician (I%20The%20Magician%2013ef84a044028186a087d846b7896d70.md),Major Card,I_The_Magician.jpg,,"Creativity, Manifestation, Skill",Major,The Magician: Manifestation and resourcefulness; the power to create and transform.,,0,1.0,card_list__all
IV the Emperor Reversed,,Major Card,,"Nov 18, 2024",,,"The Emperor Reversed signifies chaos, lack of control, and the need to rethink authority and structure in your life.",Cody three card spread (Cody%20three%20card%20spread%20142f84a0440280918672c7ec9bb8d7b5.md),1,,card_list__all
Eight of swords reversed,,,,"Nov 18, 2024",,,The Eight of Swords reversed signifies liberation from restrictions and the courage to face challenges head-on.,Cody three card spread (Cody%20three%20card%20spread%20142f84a0440280918672c7ec9bb8d7b5.md),1,,card_list__all
Ace of Pentacles Reversed,,,,"Nov 22, 2024",,,The Ace of Pentacles Reversed signifies missed opportunities and a lack of resources or stability.,Cody three card spread (Cody%20three%20card%20spread%20146f84a04402807d83cce055b41df00b.md),1,,card_list__all
XX Judgement Reversed,,,,"Nov 22, 2024",,,The XX Judgement card reversed signifies self-doubt and a reluctance to face the truth.,Cody three card spread (Cody%20three%20card%20spread%20146f84a04402807d83cce055b41df00b.md),1,,card_list__all
,,,,,,,The Fool: Embrace new beginnings and take a leap of faith.,,0,,card_list__all
Ace of Swords Reversed,,,,"Feb 19, 2025","Communication, Inner Turmoil",,"The Ace of Swords Reversed signifies confusion, miscommunication, and a lack of clarity in thoughts and decisions.","Reading @February 19, 2025  (Reading%20@February%2019,%202025%2019ff84a0440280798884c15279654b89.md)",1,,card_list__all
Two of Wands Reversed,,,,"Feb 19, 2025","Caution, New Opportunities",,"The Two of Wands Reversed signifies a lack of planning and the fear of taking risks, often leading to missed opportunities.","Reading @February 19, 2025  (Reading%20@February%2019,%202025%2019ff84a0440280798884c15279654b89.md)",1,,card_list__all
The Chariot Reversed,,,,"Feb 19, 2025","Emotional Setbacks, Inner Turmoil, Loss",,"The Chariot Reversed signifies a lack of direction, struggle with control, and feeling overwhelmed by obstacles.","Reading @February 19, 2025  (Reading%20@February%2019,%202025%2019ff84a0440280798884c15279654b89.md)",1,,card_list__all
Knight of Wands Reversed,,,,"Feb 19, 2025","Anxiety, Emotional Setbacks, Feeling Trapped",,"The Knight of Wands Reversed signifies delays, frustration, and a lack of direction in pursuing your passions.","Reading @February 19, 2025  (Reading%20@February%2019,%202025%2019ff84a0440280798884c15279654b89.md)",1,,card_list__all
The Empress Reversed,,,,"Feb 19, 2025","Emotional Pain, Emotional Setbacks, Loss",,"The Empress Reversed signifies a lack of nurturing and creativity, suggesting a need to reconnect with your inner self and embrace growth.","Reading @February 19, 2025  (Reading%20@February%2019,%202025%2019ff84a0440280798884c15279654b89.md)",1,,card_list__all
The Magician Reversed,,,,"Feb 19, 2025","Deception, Emotional Setbacks, Feeling Trapped",,The Magician Reversed: Manipulation and deception can lead to lost opportunities.,"Reading @February 19, 2025  (Reading%20@February%2019,%202025%2019ff84a0440280798884c15279654b89.md)",1,,card_list__all
